reviewerID,review,stars
A1BJHJHVIRW1HD,"Perfect for the health nut! LOVE!: These things are great! My family likes just plain white pasta but as a health conscience person, I ordered these for myself. Yes, I was skeptical and they do have a different texture than your standard pasta, but with my homemade pasta sauce with ground turkey, it was delicious. If you don't mind a little crunch to your pasta, like japanese noodles you get in a sushi restaurant, you'll like these, just rinse them off and put them in boiling water for one minute and that's it! I think they are fabulous and so healthy! NO CARBS! yay! Also fat free and low or no calories. You don't have to feel guilty for having that piece of garlic bread with your pasta anymore! Try them! Once you get past the texture, you'll love them!",5
AOSNKC5DFGGK0,Four Stars: Easy and good =),4
A2EUE2IGIGCGWF,"These noodles are just what I was hoping for...I love them!: So I decided to make some ""Ketogenic"" stir fry chicken, Bok Choy & noodles (using a package of Miracle Noodle Fettuccini) for dinner tonight. I've read reviews about how their noodles came out gummy or tasteless but to me these taste just like rice vermicelli noodles which I love! If someone were to have made my dinner and served it to me I woul have never guessed that it was no carb noodles! I already have plans to make pho with these! Great job on these noodles Miracle Noodle!",5
A1K12Z9DMNSLCS,"Edible 'rubber'?: This Shirataki pasta was really weird to chew - it kept squishing in between my teeth, but would returned to it's original shape. Sort of like gummy bears, but much harder to break down. This was nothing close to a pasta ""feel"".  After the first bite (tried the noodles for some low-carb marinara sauce I had made), I threw the rest in the trash.",1
A33C8094UUIHHN,"THE Perfect Noodle!!: I can't believe how amazing these noodles are! Just grateful that I found them Full of protein and no  discernible calories, they take on the flavor of whatever I am creating. Savory dish after savory dish these needles accommodate to every  delectable  culinary creation!",5
A12XSK18XHGDFK,Horrible!: They taste like rubber. Non eatable!,1
ATIRJJIHJCDC6,"Interesting texture: Followed the directions, it came out well. Interesting texture. Glad I mixed it with a recipe instead of eating it plain.",4
A2QAKQCRCAPEHM,One Star: Tastes like rubber,1
A3D1S2RZ9F1HF7,"Disgusting: This is gross. You like noodles and rice because of their dry, binding texture and this is nothing like it. The noodles are crunchy in a cucumber wet like way, don't absorb flavor at all and nothing sticks to them. I am a big fan of healthy, guilt-free products but this product's lack of calories comes at the price.",1
A1SP6NKC0Y4JWS,great tasting noodles and easy to use: awesome noodles! they take flavor great and they taste better then ramen noodles! they are great in the chicken teriyaki I made the other night! it was to die for!,5
A19UPE6MBSWXL5,"tasted like rubberbands.: Nope never again, the smell enough was a turnoff, even after rinsing multiple times, drying as instructed then cooking...tasted like rubberbands....",1
A1HQVPRWORA87L,Five Stars: Great stuff to use when you don't want to use pasta to lose weight,5
A3SYBQ9H0IIC8X,"Good enough to experiment with: Having tried the very curly  Better Than Noodles brand and liking it, I wanted to try something more like fettuccine or linguine. So the Miracle Noodle Zero Carb looked more like it . It is quite different though. The noodles look like translucent rubberbandlike ribbons. Very long, some seem to be 18 inches long. I had to snip them into shorter lengths. As these noodles don't really have any taste by themselves they depend on what you mix them with. What you have to adjust to is the ""mouthfeel"", which is sort of a rubbery al dente and slippery.  Sauces also don't seem to adhere to them as they do to ""normal"" noodles, and they are tricky to catch with your fork. You can certainly get used to them, but there is no ""love affair"" between your tongue and your food as there is with regular pasta. But, they also don't have the carbs and calories that ""normal"" noodles have. I will finish this batch, but won't order any more.",3
A1HPVBD81O47O4,One Star: not eatable,1
A20ISOBZM6FVZU,Five Stars: as expected,5
AWUOWS53AQ3IY,"Great noodles, easy to make, love having low carb noodles to turn to!: Between kelp noodles, homemade spiral-cut zucchini noodles and these Miracle noodles, I am just thrilled to have three low carb noodle options. I've been trying to eat paleo and low carb for a couple years now, and I've been missing noodles in my diet. I had been gluten free for a few years before going paleo, and had gotten used to a variety of gluten free noodles. But I had to give those up to go paleo and low carb. Now I have these three noodle alternatives I can turn to at a moment's notice to make a ""pasta"" dish of any kind.

The Miracle noodles smell strange when you open the bag, but that smell does not transfer to the finished noodles. I have tried the noodles with tomato sauce and vodka sauce.",5
A19XTSXF8DMPV0,They do what they say.: They are a decent filler if you cook them properly.  Not much taste but they are a good diet food. They don't smell the greatest raw but once cooked they are pretty good!,4
AN6W32B2IDZAM,Four Stars: Tastes just as advertised. Was expecting more noodles though.,4
A3CQ4YC5GV99DW,Five Stars: Great for people who need to avoid carbs.,5
A17LK2WW6EKUMG,"Delicious: I love these, Im still going to buy them, but two of the packs i received weren't angel hair. They were more like angel pubic hair. Idk what happened but they weren't normal.

Still, these are so delicious and taste like normal noodles. Im super picky too!",4
AW8WGWRGR3LOT,Couldn't get over the smell...: I never got around to eating the noodles.  I just couldn't get past the smell.  Rinsing just didn't cut it.  Had to practically fumigate my kitchen.,1
A5BEPWYZEDB6T,"This product had the expected bad smell when first opened: I have tried other products such as No Oodle and those were at least palatable after careful rinsing.  This product had the expected bad smell when first opened, but rinsing produced a slimy mess that actually began oozing out of the strainer I used to rinse them.  I cannot comment on taste as they were just too disgusting of a mess to even try them.  Don't waste your money.",1
AMJG7TPV1R2T8,"Preach. Miracle Noodle: These noodles are AWESOME! I read about them online and was skeptical. I actually really like them. I have only used them as udon noodles but they were so good. They are kind of small, like I can easily eat a whole bag. I pictured them being equal to a pound of pasta, which is not the case. I can also eat a lot, but still, just a heads up.",5
A1181E0KN1OTWU,"I love these noodles: I love these noodles. They're a real life savor for those of us who can't have carbs. They may smell ""fishy"" when you first open the package, but rinse them for a couple minutes in cold water and you're good to go! They absorb the flavor of whatever you cook them with (be sure to have at least a tablespoon of ""sause"" for them to suck up).",5
A1QB9C1XJ46RJF,Three Stars: not good tasting,3
A87T1J58RN6QJ,Obviously they don't taste like real noodles but they do the trick: Obviously they don't taste like real noodles but they do the trick. They stay consistently solid when cooked. You can definitely flavor them up a bit,4
A1HNSQ9M5BUA1Z,"Think twice - a lot of Prep Work: Oh, my goodness.  I want to return them - the smell was scarey.  I let them rinse under cold water about 3-4 times.  Strained them 3 times - they are a lot of work to get rid of the smell.  Finally, smell
free.  I was so tired from the prep work I didn't want to eat them.  I made taquitos in my toaster oven.  Then dinner time came - I poured tomatoes & basil sauce in the slimmy noodles.  I took one small bite - I will try again later.  Please can I get my money back and return these to you?
Nothing like I thought the would be.",1
A3OGOWRGAN9AR9,"Meh okay to try but not a regular order item: Will not be buying again only becuase of fishy smell, odd squishy texture and not very filling for cost. Something different to try in you are going low-carb, but not something we will be adding to our weekly menus. Plain old spaghetti squash just tastes, looks, and smells better and is far less costly per serving. Seems overly processed too.",3
A2YS0F8KKFMXAK,"yeah!!!: this is a great substitute when you are on a diet and craving pasta!! I was able to make an Chinese style stir fry with this,",5
A30MG34IGRR420,GAG ME!!!: I couldn't even cook them. Worst smell ever. Like bad fish!!!,1
A1THB3MGSE99SX,"These noodles work great in stir fries and chicken soup: I have been eating Shirataki noodles for over a year as as I'm on a low carb, diabetic friendly diet.  These noodles work great in stir fries.  I also use them in easy cassaroles (combine chicken, veggies, a can of soup, the noodles; top it with a little cheese, and then bake).  No, you would never mistake these noodles for pasta but they are enjoyable in their own right, and super filling.  I love Fettuccini shaped the best, and these garlic ones fit into my recipes, going really well with chicken.  The angel hair works perfectly in chicken soup!",5
ANR1PYQKPY4IY,Five Stars: They taste fine. Just be sure to rinse them thoroughly as the directions say.  I bought more.,5
A18T7WH40OXZLB,"Great Product: I love these  miracle noodles. They taste great when you mix in your favorite meat, vegatables etc.  They are light and satisfying, i don't buy ranzoni pastan any longer :)",5
A1925T5KQ0WMPO,"Not great but fill the need.: The smell is overwhelming, but after all its like over cooked pasta. Squishy but sauce over it helps. So fits the need and yurn for pasta.",4
A3IQE8H7U4VSKX,Love them!: Yummmm!  Love them!,5
A1M84J5NIOC65G,Konjac noodles: This is an awesome product. Make sure you are prepared to rinse well the noodles and package. packaging loquid has a fishy smell that is quickly and easily washes way. Product is easy to prepare and performs as expected.,5
A2UNKKZDP6EBIL,"It was wonderful : Yes it was my carb fix with no carbs. I mixed it with spices, fresh lemon and peeled shrimp!!! It was wonderful ",5
AVY8CRO70DIRW,Five Stars: Very good replacement for pasta.,5
A1RLVQMIGJRBNS,Not for me!: I really wanted to like these but these made me nausea :(,2
A1PBGBXE99Z0KW,Five Stars: It was excellent! I highly recommend it to anyone. Just be sure to follow the instructions as listed.,5
AGY8BJEU4N1Y7,No need to limit your pasta desire.: Perfect item for my spouse who is doing low carb meals only.  They are so easy to prepare.  The smell is very strong shrimp but when rinsed well and prepared according to directions that is eliminated.  If used regularly it serves a worthwhile purpose.  Definitely recommend for anyone who is wanting another pasta substitute.  Package arrived in perfect condition and on time.  Price was very good.,5
A3J0WFZ5GWZ33I,"It promises it contains ""nothing"" and it delivers: No taste, texture is bad, impossible to cook.  It saves calories and delivers no carbs - because you'll never eat it.",1
A3GC143OUB4Q4D,The angel hair and rice is really good. The fettuccini because it was thicker seemed chewy: The angel hair and rice is really good. The fettuccini because it was thicker seemed chewy. I would get the other two again.,4
A343UIF27ZMD2K,"The product is great on my keto diet so I will keep it: I ordered a six-pack of ziti noodles but, instead recieved a six pack of rice. The product is great on my keto diet so I will keep it, but it just isn't what I ordered.",3
A167I9QSWFTO75,Works for me: I have ordered these 3 times because I keep sharing them with people. They are Not your traditional noodle but what do you expect for 0 carbs 0 fat etc. My husband can make a shoe taste good so if you can make a good sauce this works great if you are on a low carb diet. We cook it way longer than the directions and add oil while boiling. I gave it 5 stars because it delivers what it promises.,5
AW27HHPMUDLV8,Three Stars: Very expensive. I found some others at www.skinnynoodles.com. Very affordable.,3
A1N3ERI3GL343H,"I've loved these for years!: It's true that these do have a strange smell when you first open and it's best to rinse them really thoroughly, but I've really come to love them!  My favorite thing to do is to use them in a pad thai - the texture really serves the dish well and it cuts out SO many calories!",5
AIVYP7GJPMP12,Rubbery and no flavor: We bought these noodles when we decided to start a low carb lifestyle.  I expected to be able to use them as filler when a recipe called for pasta.  I would rather eat the dish without.  They are rubbery and if you don't rinse them THOROUGHLY they will have a VERY weird taste.  I do not recommend these noodles.,2
A3S0VRFAGZ3OZJ,"Tasty stuff!: These taste great when prepared per instructions. I love how quick they are to make, and they go with anything. Great find, although a bit expensive. Would prefer to buy them locally, too.",5
A3HRWZW3ZK6W49,"Good Noodle Alternative: I have become a pretty big fan on Shirataki noodles.  I like this variety pack as it gives you a little variation in the noodles.  They all smell a little like seaweed when you first open them, but once you wash them off & boil them, I don't smell it or taste it.  It's a great way to kind of fool yourself into thinking you are getting carbs.  I like to put a little herb & garlic spaghetti sauce on the spaghetti noodles, a little low-fat alfredo sauce on the fettuccini noodles & I just add a little Mrs. Dash to the rice (& eat it with fish).  So, you are getting minimal calories & a nice variety to your meals.  I think the price is a little high, but I do enjoy them.",4
A2LY9VOGMFW0HO,"quick - tasty - filling: It has everything that I need for a quick tasty accompaniment for a low calorie meal...dump it into a colander, run very hot water over it, add ""stuff"" of your choice and enjoy your filling meal.",5
A2EZ7TG5TXEEZX,"Different...still testing: These have a very different texture than noodles but, hey what did I expect.  They are extremely filling and I am still experimenting with how to use them.  Good and satisfying for keeping your tummy full while dieting.",3
A2KALERAOHKAGP,They are terrific deformed watching calories but you will need to figure ...: This will take some getting used to. They are terrific for watching calories but you will need to figure out ways to cook them so they will taste better!,2
A3NXRVLDSG03Y4,"Good sub: My husband has to watch his carbs, but he loves pasta. With these noodles he can still have the large serving he is used to. He adds lots of meat and veggies for a healthy meal.",5
A2QQ1IXHWZUI42,"Great low carb replacement.: My husband stumble upon this while trying to find a pasta replacement for his low carb diet. Let me tell you, as an Italian, I was very skeptical but these are great! They taste good, don't take long to cook, and are good for you. We've got my husbands extended family hooked on these as well.",5
A3UIR0H95C61RA,"Yum!: Please be sure to follow the instructions on how to prepare this before bailing on this product. If done right, it retains shape, does not have any weird tastes and can absorb flavors as subtle as butter only!",5
A3HJ695IDIW3C8,don't ever eat noodles again: these noodles are amazing. they basically taste like nothing (similar to regular pasta) and u can add amazing sauces and not feel guilty about the carbs.,5
AF0P43HUK76AZ,"One Star: This stuff is awful, I can't stand the texture.",1
A11GZVI4IPZPL1,Love these low-carb low-calorie noodles: Love these low-carb low-calorie noodles. Sticking to a low-carb diet is really hard and these noodles make it possible for me,5
A1TGG773VOJE11,Guiltless Goodness!: Absolutely love these noodles! I use them in ramen recipes. All the slurping. None of guilt. The longer it sits in any kind of broth or sauce. The more flavor they pick up.,5
AH7BLIW376BQU,Four Stars: Filling pasta replacement,4
A1YW4T4HX8I0CW,"Rubber Rice: I trusted the reviews. Terrible. Tried the tic and I don't want to try the rest. More like rubber rice.

Id love if I could return the remaining packages for a refund.",1
A1O8Z2UK01LF6E,One Star: Terrible taste. Terrible smell.  Terrible texture.,1
A32BF0M7JPDY5Z,Two Stars: Smell fishy and are slimy.,2
A2Y9K2E4IT0N5N,"I got bloated - Not for everyone: The taste is good, no smell after preparation and it fills you up. However, the fiber made me super bloated - My stomach turned hard and swollen.  I tried it two times to make sure it wasn't a fluke, and sure enough I got the same problem the second time around. Sorry, but no ""miracle"" here.",2
A1J5MXYK4S4AL9,"I'm pretty sure I have a new favorite food: I'm not gonna lie. I was scared of these. BUT my lack of carbs and needing to find a pasta substitute caused me to be brave.

I'm pretty sure I have a new favorite food! Angel Hair is by far the best- least squishy texture after cooking. Tried the fettuccine as well, wasn't AS good. Have yet to try the ""rice"".

Don't sniff the bag or contents straight out of bag. Other than that the smell is pretty much unnoticeable.

I took the pasta out of the bag and drained. Rinsed, rinsed and rinsed some more. Then boiled the pasta for 3 minutes. Drained again. Tossed in a dry frying pan. I cooked a bit longer than most I think, made sure to get all the liquid out. Tossed with tongs pretty much the whole time, separating it. I can tell they're about done when they make a good ""squeaking"" noise when separating them in the pan.

Added some veggies and peanut sauce.

Probably the best Keto meal I've had in months! Added a little siracha sauce for some kick!

Didn't turn out super pretty- but was seriously delicious!",5
A3RIFBNJ6KP3L3,"Low-Carb Lifesaver! Just take the time to prepare them properly!: You must cook them properly! Drain and rinse thoroughly under cold water, put in already boiling water for 3-4 minutes, drain, place in already med-high heat skillet with no oil and stir around for 5-10 mins until as much water as possible burns off. If you spend a few extra minutes to do this (easy while you're preparing the rest of your meal) they turn out great. They have a very pasta-like texture and take on the flavor of whatever sauce you cook them in. The (to me) slightly briny smell and gummy texture completely disappears with this method of cooking. A life saver in a low carb diet when you're craving noodles!",5
A9IEYMM0KP8YE,Five Stars: love them!!!,5
A27RUAGFARI2F7,"which is fine. There was also no smell once rinsed: This was a NO GO for this low carb family. The TEXTURE is what makes these noodles intolerable. There is literally no taste whatsoever, which is fine. There was also no smell once rinsed, thank goodness. The texture had an intolerable ""crunch"". Sorry, but nope!",1
A337BJJQYPO5X9,Tasteless with nasty texture.: These were tasteless with a truly horrid texture.  Try an individual bag if you must try. I ended up throwing the entire box away.,1
AQFF452SVDF48,"Not for me: I followed tips I found on Amazon to try to make this product better.  I rinsed it in a colander to try to get rid of the odd 'fishy' smell.  I tried cooking it several ways following directions I found from people who liked it.  I could not get past the texture of it.  However, I must say that I had some kids here who loved it in a cheese sauce.  I sent it home with their mother and although she wouldn't eat it, she fixed it for the kids and they gobbled it up.  For me, I'll just stick with spiralizing my veggies.",2
AVUJ2UJHZT11M,Two Stars: Very bland.,2
A28TJUQYYJO7DC,Five Stars: Excellent !,5
A3B4YNM2VCQ42U,One Star: This product tasted fishy and the texture was slimy,1
A8DDM5DL3RK0F,Busted Bags leaking everywhere: Every single bag was busted and leaking. I could smell it even as the delivery guy handed me the box. Should have just gone to the store.,1
A3HYXJ0NCT7RKE,Five Stars: Just as described,5
A3SEH86WO5SMVO,"Great pasta alternative: When I first tried this style pasta, I was hearing bad things about the smell, the taste and the more time consuming prep time. I was told I would need to soak them in water for 15 - 20 minutes, boil them, then add them to the dish.

The first time I used them I opened the package and nothing, no smell. It wasn't until I got extremely close that I could smell anything at all, and even then it wasn't bad. All I do now is quickly rinse off the pasta and boil 2-3 minutes if needed. Normally I just throw it directly in the pan to absorb some of the sauce goodness.

This pasta is excellent. I would highly recommend this as an alternative to the standard pasta. I've cut all carbs down to 20 or a less a day, and this helps with any craving of standard pasta.",5
A11DKZ6J7FQ92J,"Miracle Noodles: We absolutely love the miracle noodles (angel hair pasta and fettuccine). Tried to make fried rice with the miracle rice. It was ok but will not make it again. I used a package of angel hair pasta and miracle rice and made a big pot of chicken noddle and rice soup. This was delicious.  The miracle rice makes a good filler in soups. Highly recommended.  Follow the directions. Rinse, boil, put in dry skillet or pan and cook until they squeek. You will know when they are ready to use when you hear it. I did findfind a recipe for pizza crust. I printed it and will try soon.",5
A1VW2CWBKMHCQ5,"Worth a shot: Hubby and I have been Keto since Oct, sadly missing pasta some days. So even though people have said there is a string fishy odor I decided to give them a shot. I rinsed for about 2-3 minutes turning them with my hand every 30 seconds or so. First time we tried this with a creamy garlic sauce with chicken, it was ok. I had a very hard time eating them like noodles. Second time I made them I cut them so they were smaller pieces and used an Asian base of coconut aminos and sesame oil added cabbage, chicken and onion for a stir fry. We definitely like them better in our stir fry kinda like a ramen noodle. Ill be buying the rice and Alfredo noodles since I was pleasantly surprised with these!",4
ACSC1LGRRR8VW,"Fishy rice: Some things are too good to be true.  No carbs, no sugar, no calories BUT very fishy smell.  I thoroughly rinsed them in hot water and then cold water and just couldn't get over the fishy smell.  I attempted to eat them with stir fry in hopes the garlic and soy sauce could mask the smell.",1
A1B0SEWSF5A5TM,"Pleasantly Surprised!: I purchased these 3 months ago and procrastinated on trying them until last night.  Quite frankly.... I was SURE I would hate them and be disappointed!  I am trying to eat ""Grain Free"" and missing pasta terribly!  I was totally surprised and loved the stir fry chicken and vegetable dish I prepared last night.  I rinsed Angle Hair well in cold water, added to boiling water for 2 minutes and drained.  Tossed in hot fry pan until most of the water was gone and added to my stir fry pan to mix in and absorb those flavors and sauce.  I will be using these several times a week and trying other products made by this company!",5
AKRZSLATNVUH6,Good concept: Definitely an acquired taste.,1
A30KRD5W5FS21Q,Five Stars: will buy again,5
A2XUQMXYOQDWND,Good stuff.: I reorder this frequently.  I really like it.,5
A32YFPY1SXQSJ6,Five Stars: Bough for a friend. She loves it,5
A1N9MG3G1XJ911,"Bleh: These taste ok, but I seriously couldn't get over the smell. Once it was in my nose it was all I could think about. Now I have 3 bags of this stuff I won't eat :-/",3
A2L6CR7ZPP1C4V,Vermicelli is great substitute.: Smells awful. Rinse thoroughly!,3
AUMFSW1YZI5NZ,"Great Idea: I wanted to try these because I thought it would be too good to be true. Turns out I was wrong! They are great.
They don't have any flavor- you have to add all of that. The fishy smell is really not a big deal and goes away if you rinse them as it says to do on the package. The texture is NOT like regular pasta by any means.. the closest I can think of would be Asian udon noodles. They are a bit more rubbery than regular noodles but nothing that you wouldn't be able to get used to if you are trying to cut back on pasta. Will repurchase. The only reason I gave it four stars is because I wish the noodles were cut a bit shorter.",4
AZ57CJQDSJFXG,A true miracle.: The best thing to happen to a low or no carb diet. Perfect texture and taste.,5
A11ANU6GE9S1PS,"Rubbery but workable: These noodles are a little rubbery, but they take on the flavor of whatever you make, so not bad if you are avoiding carbs like the plague. Zero carbs!",5
A1841W8Z5FC5TN,"Great ""Non-Pasta"" Pasta Option!: Really like this product.  I have tried kelp noodles before and I like the shirataki noodles much better. They have a better texture and taste less fishy.  I do agree with another reviewer, it is imperative to rinse this product thoroughly. Texture is great, lighter than pasta but very enjoyable.  Will definitely purchase again!",5
A2QYHJFKT4EREV,Rubbery: I was so excited for carb free.  I made the noodles and they were terrible.  I would never recommend these.  They are chewy and have no flavor.,1
A38VB84F0KU1HC,I used the thin ones for pho and they were a perfect replacement. As for the larger flat noodles they ...: I didn't realize this came with a few variations of noodles. I used the thin ones for pho and they were a perfect replacement. As for the larger flat noodles they are a bit too chewy for me.,3
A37V1T6C4GRNIS,"slimy: just not my thing. really did try to make them edible. no matter what you do they are still somewhat slimy and tough to chew, otherwise the flavor isn't bad since they basically taste like whatever sauce you serve them in.",2
AJIU2P2SHMEM5,... without liquid and some turned black - it was disgusting: SOme were dry and without liquid and some turned black - it was disgusting,1
A2CX8JAVBLVTAV,"They're like those rubbery Chinese noodles: These have no flavor eaten plain. But cook them up with whatever and you're in for a no-calorie, delightful treat. They're like those rubbery Chinese noodles.",5
AQI6Y4EV4JD7C,"Made me sick: First off, I had no issue with the initial smell or the texture.  That being said...

EDITED

Everything I said about this could attributed to the very strong allergic reaction I had to this product.  I ended up making a trip to the ER, being put on steroids, and being miserable for more than a week.  I spent days weak as a kitten, dizzy like I was drunk, and had elevated blood pressure.  You probably won't have the same experience but I advise caution.  It left me horribly sick and feeling as if I would die.  But again, that's my personal experience which is why I've edited this review to reflect that.  I'm keeping the one star as it reflects my experience.

Finally feel somewhat normal again after a week, still not 100% yet.  My review is very negative but I had a very strong reaction to this stuff.  If you are sensitive to some vegetables, fruits, and eggs like I am you definitely want to take caution when trying this product.  A shame, I could see myself getting a lot of mileage out of these as I seem to be the only negative reviewer who didn't have an issue with the smell and texture.",1
A1MO7ERE6X74JE,"Simply stunning replacement for any of the asian translucent noodles - no calories, no carbs, no gluten!: No carbs? Correct!
No gluten? Right again!
No calories!!!!???? That's what the nutrition label says.
All fiber? Nothing but high quality fiber? Yes!

This is just about the only pasta you can take to a party and hope that most can eat it. As for me? Unlimited portions! All you can eat! It's good for me!

Oh rats! I forgot my diet is so restricted my stomach shrank.

Is there a fishy odor?
Yes, it's there when you drain the noodles for the first time. Give it a rinse with water and you're good. This particular brand is less fishy than the full blown Japanese konnyaku but even that ain't bad. There is no odor after put them in soup or a cooked up into a dish. Hot water will deodorize the noodles. For this brand, you can soak the noodles in hot tap water (mine is 127 deg F) for 2 minutes, drain, and soak again in hot tap water for another 2-3 minutes. If you use the full blown black Japanese shirataki, you do need to blanch in boiling water for about 3-5 minutes for full deodorization.

The noodles look very similar to rice noodles (think pad thai) but not so sticky. Also, they resemble glass or cellophane noodles only not so slippery.  You can serve them just like the rice or cellophane noodles.

Since there is no carbs or gluten - Hallelujah!  Let the partying begin!

Guilty pleasures ramen soup

Broth - highest quality you can find
1 package of Miracle noodles
suitable leftovers (stir fried asian cabbages, eggplant, hot peppers always!, watercress, left over bits of meat, eggs...)

Rinse noodles. Boil broth and then add noodles. Add leftovers. Let boil again. Serves one insomniac.

Lindy's dirt simple sesame noodles - this is basically an Asian-style pasta salad. It's very free form. You get to adjust all the amounts.

Ingredients (serves about 8 at a party - unless they are vegetarians, figure 4)

For the dressing
Sesame seed oil (the dark stuff0
Soy sauce (get the XO - the good stuff)
Vinegar (if you can find it - get the cane sugar - it's the most Chinese-y)

About 4 packs of Miracle Noodle or Konnyaku
2-4 cups Mung bean sprouts - rinsed
4 scrambled eggs (use water) - if you feel energetic then fry up the eggs into sheets, roll up then, slice into long strands
about 2 cups green onions, sliced 1-2"" long

If you feel the noodles are too fishy, then blanch them. The truth is the dressing will cover any odor.  Toss the ingredients together. Dress with the sesame oil, soy sauce and vinegar to taste. The dressing will cause the noodles to lose water. If you are making this ahead, you will need to rebalance the dressing later.  Serve with something that people can grip like bamboo chopsticks or grippy tongs.

Lazy Days at the Beach Salad
1 pkg Miracle Noodles - drained and deodorized
Japanese seaweed salad - usually kelp, sesame seeds and sesame oil (found at your local Asian market or sometimes Costco) - about 2oz
Your choice of fish - I usually go for canned salmon or sardines, but you can get fancy and add slivers of fish OR just serve the fish on top of the salad.
Soy sauce, vinegar (apple cider for the probiotics), sesame seed oil, toasted sesame seeds or flaxseeds

Add the noodles, the seaweed salad and any other ingredients to a bowl. Add sesame/flax seeds, soy sauce, vinegar and sesame oil to taste and toss. Top with the fish.",5
A1AQOYYMSRB051,"Very bad, not recommended.: I don't like it at all. I bought it because of the ""miracle 0 calories"" and I thought I could be a good substitute for high carb pasta or rice. I doesn't smell (only at the beginning, when you open it, it smells really bad, like a dead fish) after being cooked, it doesn't taste. But the consistence didn't convinced me, it's hard to swallow, like eating a rubber. After just one meal I threw it away.",2
A34XLP1Y32AFJU,"Low Carb Heaven: Very Happy! Great quantity, quality",5
A5OAWNEP5CYZJ,One Star: GROSSS!!!! These are in a liquid and you have to dry them out to use them?!,1
A1G6X55NQAENBA,"Sooooo disappointed: Not what i expected , smelled like old fish and taste and texture of a rubber worm...tried cooking per their instructions, cooking less, cooking more....absolutely horrible",1
A2DDQLQGSPX318,"Good, but pricey: These noodles are easy to cook, and take on the flavor of the food you mix them with.  I thought it was interesting how they are crunchy when cooked in water, but as soon as you add something else, like veggies, they become soft.

My only issue with them is that they are incredibly expensive.",4
A8GIHE6IFUK85,Great product.: Fast shipment. Great product.,5
AW234JSF7UQO5,Four Stars: acquired taste but can't beat it from a dieting standpoint.  I have to use extra sauce when eating these,4
A3RA7UHD4XAYAW,Good to add to anything.: They are OK. Took me a while to figure out how to cook them but once I did you can put them into anything and they just absorb that flavor. Odd smell so rinse them well.,3
